CN101002254A  |||  S: 1 E: 13  |||  NN
20070718CN20058002533520050721  |||  S: 13 E: 43  |||  CD
engchiDE102004036154A20040726102004036154.1DE200410036154200707182007071823  |||  S: 43 E: 118  |||  NN
-  |||  S: 118 E: 119  |||  PU
29G10  |||  S: 119 E: 124  |||  CD
L11/00AG  |||  S: 124 E: 132  |||  NN
10L1100AG06F17  |||  S: 132 E: 146  |||  CD
/  |||  S: 146 E: 147  |||  PU
30BG06F1730BG10L11  |||  S: 147 E: 165  |||  CD
/  |||  S: 165 E: 166  |||  PU
0020060101  |||  S: 166 E: 176  |||  CD
AFI  |||  S: 176 E: 179  |||  NN
20070718BHCN20060101AG10L1100FI20070718CNBHG06F17  |||  S: 179 E: 228  |||  CD
/  |||  S: 228 E: 229  |||  PU
3020060101  |||  S: 229 E: 239  |||  CD
ALI  |||  S: 239 E: 242  |||  NN
20070718BHCN20060101AG06F1730LI20070718CNBHG10  |||  S: 242 E: 288  |||  CD
L19/0020060101AI  |||  S: 288 E: 304  |||  NN
20070224  |||  S: 304 E: 312  |||  CD
RMEP  |||  S: 312 E: 316  |||  NN
20060101AG10L1900I20070224  |||  S: 316 E: 342  |||  CD
EPRMG  |||  S: 342 E: 347  |||  NR
10L11/00AG10L1100A31  |||  S: 347 E: 367  |||  NN
音频  |||  S: 367 E: 369  |||  NN
信号  |||  S: 369 E: 371  |||  NN
的  |||  S: 371 E: 372  |||  DEC
鲁棒  |||  S: 372 E: 374  |||  JJ
分类  |||  S: 374 E: 376  |||  NN
设备  |||  S: 376 E: 378  |||  NN
和  |||  S: 378 E: 379  |||  CC
方法  |||  S: 379 E: 381  |||  NN
、  |||  S: 381 E: 382  |||  PU
建立  |||  S: 382 E: 384  |||  VV
并  |||  S: 384 E: 385  |||  CC
操作  |||  S: 385 E: 387  |||  VV
音频  |||  S: 387 E: 389  |||  NN
信号  |||  S: 389 E: 391  |||  NN
数据库  |||  S: 391 E: 394  |||  NN
的  |||  S: 394 E: 395  |||  DEC
方法  |||  S: 395 E: 397  |||  NN
和  |||  S: 397 E: 398  |||  CC
计算机  |||  S: 398 E: 401  |||  NN
程序  |||  S: 401 E: 403  |||  NN
Deviceandmethodforrobustryclassifyingaudiosignals  |||  S: 403 E: 452  |||  NR
,  |||  S: 452 E: 453  |||  PU
methodforestablishingandoperatingaudiosignaldatabaseandacomputerprogramWO  |||  S: 453 E: 526  |||  NR
2009076823A12009062520081124  |||  S: 526 E: 554  |||  CD
M2ANYGMBHDE  |||  S: 554 E: 565  |||  NN
埃  |||  S: 565 E: 566  |||  NN
里克  |||  S: 566 E: 568  |||  LC
·  |||  S: 568 E: 569  |||  PU
阿拉芒谢  |||  S: 569 E: 573  |||  NN
ALLAMANCHEERIC  |||  S: 573 E: 587  |||  NN
,  |||  S: 587 E: 588  |||  PU
HERREJUERGEN  |||  S: 588 E: 600  |||  NR
,  |||  S: 600 E: 601  |||  PU
HELLMUTHOLIVER  |||  S: 601 E: 615  |||  NR
,  |||  S: 615 E: 616  |||  PU
KASTNERTHORSTEN  |||  S: 616 E: 631  |||  NR
,  |||  S: 631 E: 632  |||  PU
CREMERMARKUSDE  |||  S: 632 E: 646  |||  NR
于  |||  S: 646 E: 647  |||  P
尔根  |||  S: 647 E: 649  |||  NR
·  |||  S: 649 E: 650  |||  PU
赫勒  |||  S: 650 E: 652  |||  NR
奥利  |||  S: 652 E: 654  |||  NN
弗  |||  S: 654 E: 655  |||  NN
·  |||  S: 655 E: 656  |||  PU
赫尔穆  |||  S: 656 E: 659  |||  NN
特  |||  S: 659 E: 660  |||  AD
托  |||  S: 660 E: 661  |||  VV
森  |||  S: 661 E: 662  |||  VC
·  |||  S: 662 E: 663  |||  PU
卡斯  |||  S: 663 E: 665  |||  NR
特纳  |||  S: 665 E: 667  |||  NN
马库  |||  S: 667 E: 669  |||  NN
斯  |||  S: 669 E: 670  |||  NN
·  |||  S: 670 E: 671  |||  PU
克雷  |||  S: 671 E: 673  |||  NN
默埃  |||  S: 673 E: 675  |||  NN
里克  |||  S: 675 E: 677  |||  NN
·  |||  S: 677 E: 678  |||  PU
阿拉  |||  S: 678 E: 680  |||  NN
芒谢  |||  S: 680 E: 682  |||  NN
MARKUSALLAMANCHEERICHERREJDEALLAMANCHEERIC  |||  S: 682 E: 724  |||  NN
,  |||  S: 724 E: 725  |||  PU
HERREJUERGEN,HELLMUTHOLIVER  |||  S: 725 E: 752  |||  NN
,  |||  S: 752 E: 753  |||  PU
KASTNERTHORSTEN  |||  S: 753 E: 768  |||  NN
,  |||  S: 768 E: 769  |||  PU
CREMERMARKUSDE  |||  S: 769 E: 783  |||  NN
于  |||  S: 783 E: 784  |||  P
尔根  |||  S: 784 E: 786  |||  NN
·  |||  S: 786 E: 787  |||  PU
赫勒  |||  S: 787 E: 789  |||  NN
奥利弗  |||  S: 789 E: 792  |||  NN
·  |||  S: 792 E: 793  |||  PU
赫尔穆  |||  S: 793 E: 796  |||  NN
特  |||  S: 796 E: 797  |||  CC
托森  |||  S: 797 E: 799  |||  NN
·  |||  S: 799 E: 800  |||  PU
卡斯  |||  S: 800 E: 802  |||  VE
特纳  |||  S: 802 E: 804  |||  JJ
马库  |||  S: 804 E: 806  |||  NN
斯  |||  S: 806 E: 807  |||  NN
·  |||  S: 807 E: 808  |||  PU
克雷默  |||  S: 808 E: 811  |||  NN
中科  |||  S: 811 E: 813  |||  NR
专利  |||  S: 813 E: 815  |||  NN
商标  |||  S: 815 E: 817  |||  NN
代理  |||  S: 817 E: 819  |||  VV
有  |||  S: 819 E: 820  |||  VE
限责  |||  S: 820 E: 822  |||  NN
任  |||  S: 822 E: 823  |||  VV
公司  |||  S: 823 E: 825  |||  NN
(  |||  S: 825 E: 826  |||  PU
王波波  |||  S: 826 E: 829  |||  NN
)  |||  S: 829 E: 830  |||  PU
中科  |||  S: 830 E: 832  |||  NR
专利  |||  S: 832 E: 834  |||  NN
商标  |||  S: 834 E: 836  |||  NN
代理  |||  S: 836 E: 838  |||  VV
有  |||  S: 838 E: 839  |||  VE
限责  |||  S: 839 E: 841  |||  NN
任  |||  S: 841 E: 842  |||  VV
公司  |||  S: 842 E: 844  |||  NN
(  |||  S: 844 E: 845  |||  PU
王波波  |||  S: 845 E: 848  |||  NN
)  |||  S: 848 E: 849  |||  PU
WOEP0500797120050721WO  |||  S: 849 E: 871  |||  NN
2006  |||  S: 871 E: 875  |||  CD
/  |||  S: 875 E: 876  |||  PU
